date,bluesky_followers_mariadb
2026-03-19,753
2026-03-20,754
2026-03-21,754
2026-03-22,755
2026-03-23,756
2026-03-24,756
2026-03-25,756
2026-03-26,756
2026-03-27,756
2026-03-28,757
2026-03-29,757
2026-03-30,757
2026-03-31,757
2026-04-01,757
2026-04-02,757
2026-04-03,757
2026-04-04,757
2026-04-05,757
2026-04-06,758
2026-04-07,758
2026-04-08,758
2026-04-09,760
2026-04-10,760
2026-04-11,762
2026-04-12,762
2026-04-13,762
2026-04-14,762
2026-04-15,762
2026-04-16,762
2026-04-17,762
2026-04-18,762
2026-04-19,762
