month,debian_popcon
2025-08,457244
2025-07,445071
2025-06,441316
2025-05,324267
2025-04,308663
2025-03,316712
2025-02,283411
2025-01,329985
2024-12,331569
2024-11,326865
2024-10,345524
2024-09,337494
2024-08,353434
2024-07,351505
2024-06,348928
2024-05,378631
2024-04,369290
2024-03,409699
2024-02,379908
2024-01,400955
2023-12,421596
2023-11,419234
2023-10,446728
2023-09,423660
2023-08,445291
2023-07,455137
2023-06,528844
2023-05,707816
2023-04,665664
2023-03,717842
2023-02,654639
2023-01,716356
