date,docker_official_image_pulls
2025-03-11,2886174359
2025-03-12,2886177291
2025-03-13,2886304556
2025-03-14,2886582483
2025-03-15,2886870606
2025-03-16,2887105335
2025-03-17,2887365685
2025-03-18,2887712316
2025-03-19,2888080341
2025-03-20,2888464811
2025-03-21,2888880939
2025-03-22,2889262142
2025-03-23,2889593482
2025-03-24,2889939519
2025-03-25,2890573389
2025-03-26,2891434042
2025-03-27,2892063007
2025-03-28,2892441813
2025-03-29,2892818154
2025-03-30,2893139836
2025-03-31,2893453545
2025-04-01,2893863055
2025-04-02,2894284776
2025-04-03,2894712439
2025-04-04,2895134934
2025-04-05,2895537655
2025-04-06,2895873624
2025-04-07,2896216080
2025-04-08,2896642747
2025-04-09,2897054791
2025-04-10,2897500345
2025-04-11,2897902720
2025-04-12,2898280235
2025-04-13,2898612272
2025-04-14,2898936504
2025-04-15,2899346211
2025-04-16,2899756870
2025-04-17,2900166125
2025-04-18,2900573231
2025-04-19,2900926492
2025-04-20,2901245016
2025-04-21,2901571376
2025-04-22,2901944439
2025-04-23,2902357292
2025-04-24,2902771971
2025-04-25,2903203142
2025-04-26,2903642868
2025-04-27,2903985145
2025-04-28,2904341208
2025-04-29,2904769060
2025-04-30,2905186088
2025-05-01,2905601879
2025-05-02,2905976668
2025-05-03,2906356397
2025-05-04,2906685983
2025-05-05,2907022619
2025-05-06,2907467067
2025-05-07,2907920118
2025-05-08,2908377642
2025-05-09,2908840500
2025-05-10,2909282204
2025-05-11,2909682495
2025-05-12,2910121404
2025-05-13,2910589961
2025-05-15,2911527400
2025-05-16,2911993560
2025-05-17,2912437943
2025-05-18,2912835276
2025-05-19,2913241570
2025-05-20,2913714652
2025-05-21,2914178023
2025-05-22,2914638314
2025-05-23,2915100194
2025-05-24,2915577990
2025-05-25,2915976901
2025-05-26,2916479120
2025-05-27,2916848653
2025-05-28,2917329676
2025-05-29,2917802434
2025-05-30,2918266006
2025-05-31,2918748896
2025-06-01,2919203147
2025-06-02,2919660059
2025-06-03,2920181163
2025-06-04,2920711539
2025-06-05,2921234638
2025-06-06,2921742918
2025-06-07,2922232202
2025-06-08,2922656407
2025-06-09,2923076252
2025-06-10,2923548961
2025-06-11,2924055389
2025-06-12,2924573348
2025-06-13,2925077930
2025-06-14,2925559447
2025-06-15,2925993145
2025-06-16,2926436581
2025-06-17,2926947211
2025-06-18,2927461657
2025-06-19,2927970868
2025-06-20,2928460666
2025-06-21,2928937845
2025-06-22,2929368087
2025-06-23,2929808323
2025-06-24,2930317695
2025-06-25,2930819083
2025-06-26,2931332372
2025-06-27,2931829400
2025-06-28,2932317014
2025-06-29,2932741138
2025-06-30,2933166741
2025-07-01,2933666106
2025-07-02,2934179273
2025-07-03,2934732745
2025-07-04,2935253163
2025-07-05,2935731908
2025-07-06,2936158551
2025-07-07,2936597818
2025-07-08,2937112137
2025-07-09,2937271093
2025-07-10,2938165947
2025-07-11,2938675820
2025-07-12,2939171924
2025-07-13,2939596704
2025-07-14,2940027342
2025-07-15,2940551164
2025-07-16,2941113300
2025-07-17,2941701238
2025-07-18,2942252609
2025-07-19,2942801267
2025-07-20,2943268097
2025-07-21,2943740771
2025-07-22,2944289020
2025-07-23,2944829840
2025-07-24,2945364712
2025-07-25,2945950990
2025-07-26,2946580989
2025-07-27,2947158453
2025-07-28,2947733514
2025-07-29,2948407279
2025-07-30,2949069070
2025-07-31,2949716430
2025-08-01,2950332679
2025-08-02,2950927437
2025-08-03,2951474618
2025-08-04,2952047645
2025-08-05,2952711181
2025-08-06,2953403809
2025-08-07,2954102998
2025-08-08,2954801020
2025-08-09,2955480662
2025-08-10,2956088798
2025-08-11,2956669252
2025-08-12,2957338340
2025-08-13,2958026863
2025-08-14,2958729226
2025-08-15,2959392512
2025-08-16,2960013614
2025-08-17,2960576710
