month,github_new_prs_external
2026-05,22
2026-04,37
2026-03,109
2026-02,66
2026-01,23
2025-12,13
2025-11,9
2025-10,3
2025-09,4
2025-08,13
2025-07,12
2025-06,13
2025-05,10
2025-04,15
2025-03,15
2025-02,13
2025-01,8
2024-12,5
2024-11,4
2024-10,4
2024-09,7
2024-08,4
2024-07,4
2024-06,1
2024-05,3
2024-04,7
2024-03,3
2024-02,6
2024-01,1
2023-12,3
2023-11,1
2023-07,1
2023-06,1
2023-04,2
2023-03,6
2023-02,2
2023-01,1
2022-12,1
2022-10,2
2022-09,1
2022-08,1
2022-07,5
2022-06,4
2022-05,2
2021-11,2
2021-09,1
2021-07,1
2021-04,1
2021-02,1
2020-10,2
2020-08,1
2020-06,2
