month,github_new_prs_unique_contributors
2026-05,122
2026-04,115
2026-03,112
2026-02,95
2026-01,75
2025-12,67
2025-11,63
2025-10,61
2025-09,64
2025-08,64
2025-07,63
2025-06,56
2025-05,53
2025-04,52
2025-03,49
2025-02,42
2025-01,36
2024-12,32
2024-11,32
2024-10,29
2024-09,26
2024-08,22
2024-07,20
2024-06,19
2024-05,19
2024-04,17
2024-03,15
2024-02,15
2024-01,12
2023-12,11
2023-11,9
2023-07,11
2023-06,12
2023-04,15
2023-03,15
2023-02,14
2023-01,13
2022-12,12
2022-10,13
2022-09,12
2022-08,12
2022-07,11
2022-06,9
2022-05,6
2021-11,5
2021-09,6
2021-07,6
2021-04,7
2021-02,6
2020-10,5
2020-08,3
2020-06,2
