PR-number,labels,created_date,creator_username,status,PR-title,PR-URL
3898,MariaDB Corporation,2025-03-19T18:12:00Z,DaveGosselin-MariaDB,open,MDEV-36042 Assertion failed in Binary_string::q_append,https://github.com/MariaDB/server/pull/3898
3897,MariaDB Corporation,2025-03-19T03:58:45Z,ParadoxV5,open,MDEV-35304 fixup: Threading-agnostic MTR test,https://github.com/MariaDB/server/pull/3897
3896,MariaDB Corporation,2025-03-18T12:50:19Z,Thirunarayanan,open,MDEV-36180 Doublewrite recovery of innodb_checksum_algorithm=full_crc32 page_compressed pages does not work,https://github.com/MariaDB/server/pull/3896
3895,MariaDB Foundation,2025-03-18T09:30:54Z,knielsen,open,MDEV-36265: Unique error for changing Domain ID with open temporary tables,https://github.com/MariaDB/server/pull/3895
3894,MariaDB Corporation,2025-03-17T17:57:29Z,Thirunarayanan,open,MDEV-36281	DML aborts during online virtual index,https://github.com/MariaDB/server/pull/3894
3893,Codership,2025-03-17T11:23:57Z,janlindstrom,open,"MDEV-33850 : For Galera, create sequence with low cache got signal 6 …",https://github.com/MariaDB/server/pull/3893
3892,External Contribution,2025-03-14T01:56:26Z,KhaledR57,open,MDEV-34621: Fix division by zero in mariadb-slap when iterations=0,https://github.com/MariaDB/server/pull/3892
3891,External Contribution,2025-03-13T19:36:03Z,slawomir-pryczek,open,MDEV-36297: Ability to backup selected partitions only,https://github.com/MariaDB/server/pull/3891
3890,MariaDB Corporation,2025-03-12T13:00:01Z,Thirunarayanan,open,MDEV-36270 mariabackup.incremental_compressed fails in 10.11+,https://github.com/MariaDB/server/pull/3890
3889,MariaDB Corporation,2025-03-12T10:48:44Z,dr-m,open,MDEV-36122 Assertion failure ctx0->old_table->get_ref_count() == 1 in ha_innobase::commit_inplace_alter_table(),https://github.com/MariaDB/server/pull/3889
3888,MariaDB Corporation,2025-03-12T06:36:36Z,dr-m,closed,MDEV-35813 Unnecessary InnoDB log writes in INSERT…SELECT,https://github.com/MariaDB/server/pull/3888
3887,MariaDB Corporation,2025-03-11T13:18:21Z,Thirunarayanan,open,MDEV-35420 Server aborts while deleting the record in spatial index,https://github.com/MariaDB/server/pull/3887
3886,MariaDB Corporation,2025-03-10T10:23:14Z,Thirunarayanan,open,MDEV-19574 innodb_stats_method is not honored when innodb_stats_persistent=ON,https://github.com/MariaDB/server/pull/3886
