month,google_trends
2020-03,70.0
2020-04,66.75
2020-05,69.6
2020-06,70.5
2020-07,72.75
2020-08,68.0
2020-09,66.75
2020-10,60.5
2020-11,56.8
2020-12,49.25
2021-01,59.4
2021-02,60.0
2021-03,60.25
2021-04,58.5
2021-05,57.6
2021-06,57.5
2021-07,56.5
2021-08,54.0
2021-09,59.5
2021-10,61.2
2021-11,65.5
2021-12,59.0
2022-01,76.0
2022-02,88.0
2022-03,88.5
2022-04,88.0
2022-05,77.8
2022-06,76.0
2022-07,74.8
2022-08,69.75
2022-09,74.5
2022-10,73.0
2022-11,77.0
2022-12,69.25
2023-01,74.6
2023-02,79.75
2023-03,77.0
2023-04,71.0
2023-05,72.25
2023-06,70.5
2023-07,76.2
2023-08,70.25
2023-09,74.0
2023-10,75.0
2023-11,77.5
2023-12,64.8
2024-01,76.0
2024-02,82.0
2024-03,83.8
2024-04,82.25
2024-05,78.75
2024-06,81.4
2024-07,79.0
2024-08,73.75
2024-09,74.4
2024-10,74.5
2024-11,83.25
2024-12,65.0
2025-01,73.5
2025-02,78.25
2025-03,64.66666666666667
