month,stackexchange_new_questions
2008-09,1
2009-07,1
2009-11,1
2010-05,1
2010-08,1
2010-10,1
2010-11,3
2011-01,2
2011-02,5
2011-03,1
2011-04,2
2011-06,1
2011-07,3
2011-08,2
2011-09,3
2011-10,1
2011-11,6
2011-12,4
2012-01,1
2012-02,1
2012-03,1
2012-04,2
2012-05,2
2012-06,1
2012-07,3
2012-08,3
2012-10,6
2012-11,5
2013-01,4
2013-02,5
2013-03,5
2013-04,13
2013-05,10
2013-06,19
2013-07,20
2013-08,7
2013-09,19
2013-10,19
2013-11,17
2013-12,17
2014-01,25
2014-02,19
2014-03,33
2014-04,30
2014-05,24
2014-06,26
2014-07,25
2014-08,23
2014-09,30
2014-10,42
2014-11,40
2014-12,35
2015-01,41
2015-02,29
2015-03,60
2015-04,46
2015-05,39
2015-06,49
2015-07,56
2015-08,31
2015-09,49
2015-10,64
2015-11,51
2015-12,57
2016-01,63
2016-02,81
2016-03,102
2016-04,82
2016-05,73
2016-06,103
2016-07,82
2016-08,84
2016-09,97
2016-10,92
2016-11,90
2016-12,109
2017-01,99
2017-02,108
2017-03,147
2017-04,122
2017-05,130
2017-06,109
2017-07,123
2017-08,157
2017-09,116
2017-10,122
2017-11,162
2017-12,123
2018-01,113
2018-02,140
2018-03,150
2018-04,149
2018-05,167
2018-06,130
2018-07,166
2018-08,149
2018-09,142
2018-10,141
2018-11,173
2018-12,111
2019-01,158
2019-02,165
2019-03,165
2019-04,152
2019-05,127
2019-06,145
2019-07,174
2019-08,129
2019-09,148
2019-10,182
2019-11,168
2019-12,153
2020-01,189
2020-02,171
2020-03,161
2020-04,177
2020-05,202
2020-06,196
2020-07,163
2020-08,163
2020-09,165
2020-10,135
2020-11,158
2020-12,137
2021-01,161
2021-02,168
2021-03,155
2021-04,159
2021-05,154
2021-06,136
2021-07,149
2021-08,137
2021-09,162
2021-10,124
2021-11,156
2021-12,140
2022-01,159
2022-02,124
2022-03,154
2022-04,129
2022-05,151
2022-06,149
2022-07,131
2022-08,129
2022-09,134
2022-10,126
2022-11,139
2022-12,127
2023-01,151
2023-02,100
2023-03,122
2023-04,105
2023-05,84
2023-06,76
2023-07,76
2023-08,65
2023-09,74
2023-10,68
2023-11,72
2023-12,62
2024-01,90
2024-02,73
2024-03,70
2024-04,66
2024-05,74
2024-06,43
2024-07,47
2024-08,51
2024-09,39
2024-10,29
2024-11,29
2024-12,17
2025-01,32
2025-02,22
2025-03,30
2025-04,14
2025-05,18
2025-06,15
2025-07,6
2025-08,3
2025-09,5
2025-10,6
2025-11,9
