month,stackexchange_new_questions
2010-11,1
2011-01,1
2011-03,1
2011-04,2
2011-05,1
2011-07,1
2011-08,1
2011-10,1
2011-11,2
2012-02,1
2012-03,1
2012-06,1
2012-07,2
2012-10,3
2012-12,2
2013-01,2
2013-02,3
2013-03,2
2013-04,3
2013-05,2
2013-06,2
2013-07,4
2013-08,5
2013-09,7
2013-10,6
2013-11,8
2013-12,2
2014-01,7
2014-02,5
2014-03,9
2014-04,6
2014-05,1
2014-06,9
2014-07,3
2014-08,14
2014-09,7
2014-10,7
2014-11,8
2014-12,8
2015-01,15
2015-02,10
2015-03,6
2015-04,14
2015-05,9
2015-06,10
2015-07,21
2015-08,9
2015-09,5
2015-10,16
2015-11,14
2015-12,15
2016-01,14
2016-02,17
2016-03,10
2016-04,27
2016-05,32
2016-06,27
2016-07,28
2016-08,35
2016-09,27
2016-10,44
2016-11,29
2016-12,42
2017-01,35
2017-02,35
2017-03,40
2017-04,35
2017-05,35
2017-06,37
2017-07,43
2017-08,54
2017-09,38
2017-10,25
2017-11,43
2017-12,37
2018-01,59
2018-02,57
2018-03,50
2018-04,50
2018-05,52
2018-06,52
2018-07,47
2018-08,53
2018-09,41
2018-10,46
2018-11,60
2018-12,41
2019-01,76
2019-02,51
2019-03,64
2019-04,66
2019-05,55
2019-06,45
2019-07,68
2019-08,62
2019-09,72
2019-10,37
2019-11,40
2019-12,53
2020-01,52
2020-02,49
2020-03,44
2020-04,66
2020-05,61
2020-06,66
2020-07,45
2020-08,44
2020-09,50
2020-10,34
2020-11,55
2020-12,60
2021-01,74
2021-02,46
2021-03,56
2021-04,49
2021-05,50
2021-06,38
2021-07,37
2021-08,42
2021-09,50
2021-10,38
2021-11,45
2021-12,45
2022-01,42
2022-02,49
2022-03,44
2022-04,47
2022-05,50
2022-06,40
2022-07,43
2022-08,164
2022-09,169
2022-10,179
2022-11,196
2022-12,177
2023-01,203
2023-02,147
2023-03,165
2023-04,153
2023-05,115
2023-06,119
2023-07,109
2023-08,95
2023-09,107
2023-10,100
2023-11,111
2023-12,84
2024-01,115
2024-02,111
2024-03,98
2024-04,90
2024-05,93
2024-06,55
2024-07,73
2024-08,74
2024-09,62
2024-10,51
2024-11,55
2024-12,31
2025-01,45
2025-02,44
2025-03,48
2025-04,23
2025-05,37
2025-06,32
2025-07,19
2025-08,18
2025-09,13
2025-10,22
2025-11,17
2025-12,9
2026-01,15
