month,wikipedia_views_all_langs
2025-10,22463
2025-09,25930
2025-08,23101
2025-07,21781
2025-06,22874
2025-05,26113
2025-04,26582
2025-03,30536
2025-02,29339
2025-01,36740
2024-12,26132
2024-11,27722
2024-10,31073
2024-09,32894
2024-08,28972
2024-07,28880
2024-06,28748
2024-05,31096
2024-04,31843
2024-03,34307
2024-02,36837
2024-01,37738
2023-12,28765
2023-11,39516
2023-10,35000
2023-09,33493
2023-08,33594
2023-07,32658
2023-06,40315
2023-05,34695
2023-04,34586
2023-03,41592
2023-02,36298
2023-01,40711
