date,zulip_users_active_15d
2025-03-14,40
2025-03-15,40
2025-03-16,41
2025-03-17,40
2025-03-18,39
2025-03-19,39
2025-03-20,37
2025-03-21,39
2025-03-22,39
2025-03-23,39
2025-03-24,41
2025-03-25,40
2025-03-26,40
2025-03-27,39
2025-03-28,41
2025-03-29,43
2025-03-30,45
2025-03-31,46
2025-04-01,49
2025-04-02,50
2025-04-03,48
2025-04-04,45
2025-04-05,41
2025-04-06,41
2025-04-07,43
2025-04-08,47
2025-04-09,44
2025-04-10,43
2025-04-11,43
2025-04-12,42
2025-04-13,42
2025-04-14,42
2025-04-15,38
2025-04-16,32
2025-04-17,25
2025-04-18,25
2025-04-19,25
2025-04-20,27
2025-04-21,26
2025-04-22,25
2025-04-23,25
2025-04-24,26
2025-04-25,26
2025-04-26,28
2025-04-27,28
2025-04-28,28
2025-04-29,28
2025-04-30,29
2025-05-01,28
2025-05-02,28
2025-05-03,30
2025-05-04,30
2025-05-05,30
2025-05-06,30
2025-05-07,29
2025-05-08,28
2025-05-09,31
2025-05-10,29
2025-05-11,30
2025-05-12,30
